Province_State,date,total_deaths
Alabama,2020-12-07,3892
Alabama,2020-12-08,3942
Alabama,2020-12-09,3985
Alabama,2020-12-10,4034
Alabama,2020-12-11,4086
Alabama,2020-12-12,4102
Alabama,2020-12-13,4102
Alabama,2020-12-14,4102
Alabama,2020-12-15,4124
Alabama,2020-12-16,4198
Alabama,2020-12-17,4254
Alabama,2020-12-18,4296
Alabama,2020-12-19,4389
Alabama,2020-12-20,4389
Alabama,2020-12-21,4389
Alabama,2020-12-22,4452
Alabama,2020-12-23,4587
Alabama,2020-12-24,4676
Alabama,2020-12-25,4680
Alabama,2020-12-26,4685
Alabama,2020-12-27,4691
Alabama,2020-12-28,4712
Alabama,2020-12-29,4737
Alabama,2020-12-30,4774
Alabama,2020-12-31,4827
Alabama,2021-01-01,4872
Alabama,2021-01-02,4872
Alabama,2021-01-03,4873
Alabama,2021-01-04,4878
Alabama,2021-01-05,4886
Alabama,2021-01-06,4994
Alabama,2021-01-07,5080
Alabama,2021-01-08,5191
Alabama,2021-01-09,5299
Alabama,2021-01-10,5334
Alabama,2021-01-11,5347
Alabama,2021-01-12,5573
Alabama,2021-01-13,5760
Alabama,2021-01-14,5945
Alabama,2021-01-15,6030
Alabama,2021-01-16,6119
Alabama,2021-01-17,6120
Alabama,2021-01-18,6121
Alabama,2021-01-19,6126
Alabama,2021-01-20,6283
Alabama,2021-01-21,6379
Alabama,2021-01-22,6486
Alabama,2021-01-23,6657
Alabama,2021-01-24,6660
Alabama,2021-01-25,6662
Alabama,2021-01-26,6896
Alabama,2021-01-27,7172
Alabama,2021-01-28,7340
Alabama,2021-01-29,7566
Alabama,2021-01-30,7566
Alabama,2021-01-31,7688
Alabama,2021-02-01,7688
Alabama,2021-02-02,7894
Alabama,2021-02-03,8203
Alabama,2021-02-04,8365
Alabama,2021-02-05,8449
Alabama,2021-02-06,8513
Alabama,2021-02-07,8515
Alabama,2021-02-08,8523
Alabama,2021-02-09,8579
Alabama,2021-02-10,8888
Alabama,2021-02-11,9021
Alabama,2021-02-12,9180
Alabama,2021-02-13,9242
Alabama,2021-02-14,9242
Alabama,2021-02-15,9244
Alabama,2021-02-16,9257
Alabama,2021-02-17,9346
Alabama,2021-02-18,9424
Alabama,2021-02-19,9573
Alabama,2021-02-20,9590
Alabama,2021-02-21,9592
Alabama,2021-02-22,9592
Alabama,2021-02-23,9660
Alabama,2021-02-24,9744
Alabama,2021-02-25,9831
Alabama,2021-02-26,9869
Alabama,2021-02-27,9930
Alabama,2021-02-28,9929
Alabama,2021-03-01,9931
Alabama,2021-03-02,9991
Alabama,2021-03-03,10029
Alabama,2021-03-04,10094
Alabama,2021-03-05,10122
Alabama,2021-03-06,10149
Alabama,2021-03-07,10148
Alabama,2021-03-08,10148
Alabama,2021-03-09,10186
Alabama,2021-03-10,10222
Alabama,2021-03-11,10274
Alabama,2021-03-12,10299
Alabama,2021-03-13,10327
Alabama,2021-03-14,10327
Alabama,2021-03-15,10329
Alabama,2021-03-16,10337
Alabama,2021-03-17,10363
Alabama,2021-03-18,10391
Alabama,2021-03-19,10425
Alabama,2021-03-20,10436
Alabama,2021-03-21,10436
Alabama,2021-03-22,10436
Alabama,2021-03-23,10450
Alabama,2021-03-24,10487
Alabama,2021-03-25,10504
Alabama,2021-03-26,10523
Alabama,2021-03-27,10526
Alabama,2021-03-28,10526
Alabama,2021-03-29,10526
Alabama,2021-03-30,10527
Alabama,2021-03-31,10554
Alabama,2021-04-01,10553
Alabama,2021-04-02,10607
Alabama,2021-04-03,10637
Alabama,2021-04-04,10637
Alabama,2021-04-05,10638
Alabama,2021-04-06,10652
Alabama,2021-04-07,10652
Alabama,2021-04-08,10675
Alabama,2021-04-09,10686
Alabama,2021-04-10,10712
Alabama,2021-04-11,10712
Alabama,2021-04-12,10712
Alabama,2021-04-13,10722
Alabama,2021-04-14,10728
Alabama,2021-04-15,10736
Alabama,2021-04-16,10739
Alabama,2021-04-17,10790
Alabama,2021-04-18,10790
Alabama,2021-04-19,10790
Alabama,2021-04-20,10798
Alabama,2021-04-21,10807
Alabama,2021-04-22,10824
Alabama,2021-04-23,10840
Alabama,2021-04-24,10851
Alabama,2021-04-25,10851
Alabama,2021-04-26,10852
Alabama,2021-04-27,10854
Alabama,2021-04-28,10879
Alabama,2021-04-29,10887
Alabama,2021-04-30,10896
Alabama,2021-05-01,10913
Alabama,2021-05-02,10913
Alabama,2021-05-03,10913
Alabama,2021-05-04,10913
Alabama,2021-05-05,10930
Alabama,2021-05-06,10946
Alabama,2021-05-07,10966
Alabama,2021-05-08,10978
Alabama,2021-05-09,10978
Alabama,2021-05-10,10978
Alabama,2021-05-11,10985
Alabama,2021-05-12,10997
Alabama,2021-05-13,11001
Alabama,2021-05-14,11024
Alabama,2021-05-15,11038
Alabama,2021-05-16,11038
Alabama,2021-05-17,11038
Alabama,2021-05-18,11043
Alabama,2021-05-19,11045
Alabama,2021-05-20,11077
Alabama,2021-05-21,11080
Alabama,2021-05-22,11112
Alabama,2021-05-23,11112
Alabama,2021-05-24,11112
Alabama,2021-05-25,11124
Alabama,2021-05-26,11138
Alabama,2021-05-27,11140
Alabama,2021-05-28,11146
Alabama,2021-05-29,11146
Alabama,2021-05-30,11146
Alabama,2021-05-31,11146
Alabama,2021-06-01,11156
Alabama,2021-06-02,11167
Alabama,2021-06-03,11188
Alabama,2021-06-04,11198
Alabama,2021-06-05,11198
Alabama,2021-06-06,11198
Alabama,2021-06-07,11217
Alabama,2021-06-08,11220
Alabama,2021-06-09,11249
Alabama,2021-06-10,11252
Alabama,2021-06-11,11266
Alabama,2021-06-12,11266
Alabama,2021-06-13,11266
Alabama,2021-06-14,11274
Alabama,2021-06-15,11281
Alabama,2021-06-16,11288
Alabama,2021-06-17,11288
Alabama,2021-06-18,11306
Alabama,2021-06-19,11306
Alabama,2021-06-20,11306
Alabama,2021-06-21,11311
Alabama,2021-06-22,11311
Alabama,2021-06-23,11328
Alabama,2021-06-24,11328
Alabama,2021-06-25,11336
Alabama,2021-06-26,11336
Alabama,2021-06-27,11336
Alabama,2021-06-28,11338
Alabama,2021-06-29,11338
Alabama,2021-06-30,11352
Alabama,2021-07-01,11352
Alabama,2021-07-02,11358
Alabama,2021-07-03,11358
Alabama,2021-07-04,11358
Alabama,2021-07-05,11358
Alabama,2021-07-06,11358
Alabama,2021-07-07,11387
Alabama,2021-07-08,11387
Alabama,2021-07-09,11398
Alabama,2021-07-10,11402
Alabama,2021-07-11,11402
Alabama,2021-07-12,11402
Alabama,2021-07-13,11402
Alabama,2021-07-14,11428
Alabama,2021-07-15,11439
Alabama,2021-07-16,11442
Alabama,2021-07-17,11443
Alabama,2021-07-18,11443
Alabama,2021-07-19,11443
Alabama,2021-07-20,11460
Alabama,2021-07-21,11462
Alabama,2021-07-22,11468
Alabama,2021-07-23,11472
Alabama,2021-07-24,11483
Alabama,2021-07-25,11483
Alabama,2021-07-26,11483
Alabama,2021-07-27,11492
Alabama,2021-07-28,11510
Alabama,2021-07-29,11510
Alabama,2021-07-30,11510
Alabama,2021-07-31,11536
Alabama,2021-08-01,11536
Alabama,2021-08-02,11536
Alabama,2021-08-03,11542
Alabama,2021-08-04,11561
Alabama,2021-08-05,11574
Alabama,2021-08-06,11600
Alabama,2021-08-07,11624
Alabama,2021-08-08,11624
Alabama,2021-08-09,11625
Alabama,2021-08-10,11648
Alabama,2021-08-11,11689
Alabama,2021-08-12,11724
Alabama,2021-08-13,11765
Alabama,2021-08-14,11765
Alabama,2021-08-15,11798
Alabama,2021-08-16,11799
Alabama,2021-08-17,11832
Alabama,2021-08-18,11872
Alabama,2021-08-19,11914
Alabama,2021-08-20,11942
Alabama,2021-08-21,12000
Alabama,2021-08-22,12000
Alabama,2021-08-23,12000
Alabama,2021-08-24,12000
Alabama,2021-08-25,12000
Alabama,2021-08-26,12103
Alabama,2021-08-27,12153
Alabama,2021-08-28,12219
Alabama,2021-08-29,12222
Alabama,2021-08-30,12222
Alabama,2021-08-31,12283
Alabama,2021-09-01,12291
Alabama,2021-09-02,12330
Alabama,2021-09-03,12394
Alabama,2021-09-04,12414
Alabama,2021-09-05,12415
Alabama,2021-09-06,12416
Alabama,2021-09-07,12420
Alabama,2021-09-08,12488
Alabama,2021-09-09,12552
Alabama,2021-09-10,12605
Alabama,2021-09-11,12673
Alabama,2021-09-12,12676
Alabama,2021-09-13,12678
Alabama,2021-09-14,12718
Alabama,2021-09-15,12784
Alabama,2021-09-16,12856
Alabama,2021-09-17,13048
Alabama,2021-09-18,13209
Alabama,2021-09-19,13210
Alabama,2021-09-20,13210
Alabama,2021-09-21,13460
Alabama,2021-09-22,13665
Alabama,2021-09-23,13798
Alabama,2021-09-24,13921
Alabama,2021-09-25,14022
Alabama,2021-09-26,14022
Alabama,2021-09-27,14025
Alabama,2021-09-28,14155
Alabama,2021-09-29,14200
Alabama,2021-09-30,14299
Alabama,2021-10-01,14393
Alabama,2021-10-02,14469
Alabama,2021-10-03,14470
Alabama,2021-10-04,14471
Alabama,2021-10-05,14542
Alabama,2021-10-06,14612
Alabama,2021-10-07,14675
Alabama,2021-10-08,14756
Alabama,2021-10-09,14857
Alabama,2021-10-10,14858
Alabama,2021-10-11,14859
Alabama,2021-10-12,14869
Alabama,2021-10-13,14980
Alabama,2021-10-14,15101
Alabama,2021-10-15,15142
Alabama,2021-10-16,15179
Alabama,2021-10-17,15179
Alabama,2021-10-18,15179
Alabama,2021-10-19,15263
Alabama,2021-10-20,15311
Alabama,2021-10-21,15320
Alabama,2021-10-22,15378
Alabama,2021-10-23,15406
Alabama,2021-10-24,15407
Alabama,2021-10-25,15407
Alabama,2021-10-26,15424
Alabama,2021-10-27,15432
Alabama,2021-10-28,15484
Alabama,2021-10-29,15532
Alabama,2021-10-30,15573
Alabama,2021-10-31,15573
Alabama,2021-11-01,15573
Alabama,2021-11-02,15629
Alabama,2021-11-03,15676
Alabama,2021-11-04,15734
Alabama,2021-11-05,15786
Alabama,2021-11-06,15834
Alabama,2021-11-07,15834
Alabama,2021-11-08,15834
Alabama,2021-11-09,15879
Alabama,2021-11-10,15917
Alabama,2021-11-11,15934
Alabama,2021-11-12,15934
Alabama,2021-11-13,15981
Alabama,2021-11-14,15981
Alabama,2021-11-15,15981
Alabama,2021-11-16,15999
Alabama,2021-11-17,16025
Alabama,2021-11-18,16043
Alabama,2021-11-19,16063
Alabama,2021-11-20,16073
Alabama,2021-11-21,16073
Alabama,2021-11-22,16073
Alabama,2021-11-23,16086
Alabama,2021-11-24,16102
Alabama,2021-11-25,16115
Alabama,2021-11-26,16115
Alabama,2021-11-27,16115
Alabama,2021-11-28,16115
Alabama,2021-11-29,16116
Alabama,2021-11-30,16119
Alabama,2021-12-01,16143
Alabama,2021-12-02,16157
Alabama,2021-12-03,16172
Alabama,2021-12-04,16185
Alabama,2021-12-05,16185
Alabama,2021-12-06,16185
Alabama,2021-12-07,16199
Alabama,2021-12-08,16203
Alabama,2021-12-09,16203
Alabama,2021-12-10,16243
Alabama,2021-12-11,16265
Alabama,2021-12-12,16265
Alabama,2021-12-13,16265
Alabama,2021-12-14,16285
Alabama,2021-12-15,16304
Alabama,2021-12-16,16320
Alabama,2021-12-17,16343
Alabama,2021-12-18,16353
Alabama,2021-12-19,16353
Alabama,2021-12-20,16353
Alabama,2021-12-21,16368
Alabama,2021-12-22,16380
Alabama,2021-12-23,16402
Alabama,2021-12-24,16418
Alabama,2021-12-25,16418
Alabama,2021-12-26,16418
Alabama,2021-12-27,16418
Alabama,2021-12-28,16436
Alabama,2021-12-29,16454
Alabama,2021-12-30,16455
Alabama,2021-12-31,16455
Alabama,2022-01-01,16455
Alabama,2022-01-02,16455
Alabama,2022-01-03,16455
Alabama,2022-01-04,16496
Alabama,2022-01-05,16503
Alabama,2022-01-06,16543
Alabama,2022-01-07,16585
Alabama,2022-01-08,16624
Alabama,2022-01-09,16624
Alabama,2022-01-10,16624
Alabama,2022-01-11,16630
Alabama,2022-01-12,16641
Alabama,2022-01-13,16641
Alabama,2022-01-14,16641
Alabama,2022-01-15,16641
Alabama,2022-01-16,16734
Alabama,2022-01-17,16734
Alabama,2022-01-18,16734
Alabama,2022-01-19,16756
Alabama,2022-01-20,16792
Alabama,2022-01-21,16824
Alabama,2022-01-22,16826
Alabama,2022-01-23,16826
Alabama,2022-01-24,16826
Alabama,2022-01-25,16914
Alabama,2022-01-26,16826
Alabama,2022-01-27,16826
Alabama,2022-01-28,17047
Alabama,2022-01-29,17086
Alabama,2022-01-30,17086
Alabama,2022-01-31,17086
Alabama,2022-02-01,17146
Alabama,2022-02-02,17215
Alabama,2022-02-03,17215
Alabama,2022-02-04,17371
Alabama,2022-02-05,17371
Alabama,2022-02-06,17371
Alabama,2022-02-07,17387
Alabama,2022-02-08,17407
Alabama,2022-02-09,17452
Alabama,2022-02-10,17502
Alabama,2022-02-11,17505
Alabama,2022-02-12,17571
Alabama,2022-02-13,17571
Alabama,2022-02-14,17571
Alabama,2022-02-15,17656
Alabama,2022-02-16,17749
Alabama,2022-02-17,17787
Alabama,2022-02-18,17877
Alabama,2022-02-19,17933
Alabama,2022-02-20,17933
Alabama,2022-02-21,17933
Alabama,2022-02-22,17938
Alabama,2022-02-23,18007
Alabama,2022-02-24,18102
Alabama,2022-02-25,18186
Alabama,2022-02-26,18225
Alabama,2022-02-27,18225
Alabama,2022-02-28,18225
Alabama,2022-03-01,18287
Alabama,2022-03-02,18335
Alabama,2022-03-03,18407
Alabama,2022-03-04,18480
Alabama,2022-03-05,18480
Alabama,2022-03-06,18480
Alabama,2022-03-07,18569
Alabama,2022-03-08,18648
Alabama,2022-03-09,18694
Alabama,2022-03-10,18766
Alabama,2022-03-11,18832
Alabama,2022-03-12,18832
Alabama,2022-03-13,18832
Alabama,2022-03-14,18890
Alabama,2022-03-15,18943
Alabama,2022-03-16,18944
Alabama,2022-03-17,18998
Alabama,2022-03-18,19038
Alabama,2022-03-19,19038
Alabama,2022-03-20,19038
Alabama,2022-03-21,19093
Alabama,2022-03-22,19139
Alabama,2022-03-23,19169
Alabama,2022-03-24,19173
Alabama,2022-03-25,19210
Alabama,2022-03-26,19210
Alabama,2022-03-27,19210
Alabama,2022-03-28,19234
Alabama,2022-03-29,19280
Alabama,2022-03-30,19284
Alabama,2022-03-31,19290
Alabama,2022-04-01,19294
Alabama,2022-04-02,19313
Alabama,2022-04-03,19313
Alabama,2022-04-04,19334
Alabama,2022-04-05,19362
Alabama,2022-04-06,19374
Alabama,2022-04-07,19374
Alabama,2022-04-08,19376
Alabama,2022-04-09,19376
Alabama,2022-04-10,19376
Alabama,2022-04-11,19379
Alabama,2022-04-12,19417
Alabama,2022-04-13,19441
Alabama,2022-04-14,19475
Alabama,2022-04-15,19502
Alabama,2022-04-16,19502
Alabama,2022-04-17,19502
Alabama,2022-04-18,19510
Alabama,2022-04-19,19513
Alabama,2022-04-20,19524
Alabama,2022-04-21,19529
Alabama,2022-04-22,19541
Alabama,2022-04-23,19541
Alabama,2022-04-24,19541
Alabama,2022-04-25,19545
Alabama,2022-04-26,19545
Alabama,2022-04-27,19559
Alabama,2022-04-28,19561
Alabama,2022-04-29,19567
Alabama,2022-04-30,19567
Alabama,2022-05-01,19567
Alabama,2022-05-02,19570
Alabama,2022-05-03,19585
Alabama,2022-05-04,19590
Alabama,2022-05-05,19593
Alabama,2022-05-06,19601
Alabama,2022-05-07,19601
Alabama,2022-05-08,19601
Alabama,2022-05-09,19601
Alabama,2022-05-10,19606
Alabama,2022-05-11,19606
Alabama,2022-05-12,19623
Alabama,2022-05-13,19628
Alabama,2022-05-14,19628
Alabama,2022-05-15,19628
Alabama,2022-05-16,19631
Alabama,2022-05-17,19633
Alabama,2022-05-18,19633
Alabama,2022-05-19,19641
Alabama,2022-05-20,19645
Alabama,2022-05-21,19645
Alabama,2022-05-22,19645
Alabama,2022-05-23,19649
Alabama,2022-05-24,19650
Alabama,2022-05-25,19651
Alabama,2022-05-26,19651
Alabama,2022-05-27,19658
Alabama,2022-05-28,19658
Alabama,2022-05-29,19658
Alabama,2022-05-30,19658
Alabama,2022-05-31,19664
Alabama,2022-06-01,19664
Alabama,2022-06-02,19664
Alabama,2022-06-03,19664
Alabama,2022-06-04,19664
Alabama,2022-06-05,19664
Alabama,2022-06-06,19676
Alabama,2022-06-07,19676
Alabama,2022-06-08,19676
Alabama,2022-06-09,19684
Alabama,2022-06-10,19692
Alabama,2022-06-11,19692
Alabama,2022-06-12,19692
Alabama,2022-06-13,19695
Alabama,2022-06-14,19695
Alabama,2022-06-15,19696
Alabama,2022-06-16,19696
Alabama,2022-06-17,19696
Alabama,2022-06-18,19696
Alabama,2022-06-19,19696
Alabama,2022-06-20,19697
Alabama,2022-06-21,19697
Alabama,2022-06-22,19722
Alabama,2022-06-23,19723
Alabama,2022-06-24,19729
Alabama,2022-06-25,19729
Alabama,2022-06-26,19729
Alabama,2022-06-27,19734
Alabama,2022-06-28,19739
Alabama,2022-06-29,19740
Alabama,2022-06-30,19755
Alabama,2022-07-01,19759
Alabama,2022-07-02,19759
Alabama,2022-07-03,19759
Alabama,2022-07-04,19766
Alabama,2022-07-05,19766
Alabama,2022-07-06,19766
Alabama,2022-07-07,19781
Alabama,2022-07-08,19786
Alabama,2022-07-09,19786
Alabama,2022-07-10,19786
Alabama,2022-07-11,19795
Alabama,2022-07-12,19804
Alabama,2022-07-13,19812
Alabama,2022-07-14,19821
Alabama,2022-07-15,19822
Alabama,2022-07-16,19822
Alabama,2022-07-17,19822
Alabama,2022-07-18,19828
Alabama,2022-07-19,19836
Alabama,2022-07-20,19852
Alabama,2022-07-21,19859
Alabama,2022-07-22,19872
Alabama,2022-07-23,19872
Alabama,2022-07-24,19872
Alabama,2022-07-25,19888
Alabama,2022-07-26,19889
Alabama,2022-07-27,19890
Alabama,2022-07-28,19890
Alabama,2022-07-29,19891
Alabama,2022-07-30,19891
Alabama,2022-07-31,19891
Alabama,2022-08-01,19891
Alabama,2022-08-02,19891
Alabama,2022-08-03,19891
Alabama,2022-08-04,19974
Alabama,2022-08-05,19974
Alabama,2022-08-06,19974
Alabama,2022-08-07,19974
Alabama,2022-08-08,19974
Alabama,2022-08-09,19974
Alabama,2022-08-10,19974
Alabama,2022-08-11,20026
Alabama,2022-08-12,20026
Alabama,2022-08-13,20026
Alabama,2022-08-14,20026
Alabama,2022-08-15,20026
Alabama,2022-08-16,20026
Alabama,2022-08-17,20026
Alabama,2022-08-18,20041
Alabama,2022-08-19,20041
Alabama,2022-08-20,20041
