Province_State,date,total_cases
Alabama,2020-12-01,252900
Alabama,2020-12-02,256828
Alabama,2020-12-03,260359
Alabama,2020-12-04,264199
Alabama,2020-12-05,267589
Alabama,2020-12-06,269877
Alabama,2020-12-07,272229
Alabama,2020-12-08,276665
Alabama,2020-12-09,280187
Alabama,2020-12-10,284922
Alabama,2020-12-11,288775
Alabama,2020-12-12,292841
Alabama,2020-12-13,295631
Alabama,2020-12-14,297895
Alabama,2020-12-15,301533
Alabama,2020-12-16,305640
Alabama,2020-12-17,310335
Alabama,2020-12-18,315683
Alabama,2020-12-19,319904
Alabama,2020-12-20,322452
Alabama,2020-12-21,324832
Alabama,2020-12-22,329811
Alabama,2020-12-23,334569
Alabama,2020-12-24,338801
Alabama,2020-12-25,342426
Alabama,2020-12-26,343458
Alabama,2020-12-27,345628
Alabama,2020-12-28,347897
Alabama,2020-12-29,351804
Alabama,2020-12-30,356820
Alabama,2020-12-31,361226
Alabama,2021-01-01,365747
Alabama,2021-01-02,369458
Alabama,2021-01-03,371934
Alabama,2021-01-04,374095
Alabama,2021-01-05,379593
Alabama,2021-01-06,384184
Alabama,2021-01-07,389230
Alabama,2021-01-08,394287
Alabama,2021-01-09,399150
Alabama,2021-01-10,401900
Alabama,2021-01-11,404000
Alabama,2021-01-12,407848
Alabama,2021-01-13,410995
Alabama,2021-01-14,414583
Alabama,2021-01-15,417528
Alabama,2021-01-16,420681
Alabama,2021-01-17,422598
Alabama,2021-01-18,424028
Alabama,2021-01-19,426543
Alabama,2021-01-20,429655
Alabama,2021-01-21,432536
Alabama,2021-01-22,436087
Alabama,2021-01-23,439442
Alabama,2021-01-24,441170
Alabama,2021-01-25,443009
Alabama,2021-01-26,445909
Alabama,2021-01-27,449086
Alabama,2021-01-28,452734
Alabama,2021-01-29,455582
Alabama,2021-01-30,455582
Alabama,2021-01-31,459639
Alabama,2021-02-01,460860
Alabama,2021-02-02,462938
Alabama,2021-02-03,465056
Alabama,2021-02-04,467823
Alabama,2021-02-05,469319
Alabama,2021-02-06,471311
Alabama,2021-02-07,472423
Alabama,2021-02-08,473348
Alabama,2021-02-09,474666
Alabama,2021-02-10,476067
Alabama,2021-02-11,477570
Alabama,2021-02-12,478667
Alabama,2021-02-13,479856
Alabama,2021-02-14,480931
Alabama,2021-02-15,481605
Alabama,2021-02-16,482488
Alabama,2021-02-17,483167
Alabama,2021-02-18,484365
Alabama,2021-02-19,485212
Alabama,2021-02-20,485986
Alabama,2021-02-21,486843
Alabama,2021-02-22,487520
Alabama,2021-02-23,488973
Alabama,2021-02-24,490220
Alabama,2021-02-25,491110
Alabama,2021-02-26,491849
Alabama,2021-02-27,492683
Alabama,2021-02-28,493252
Alabama,2021-03-01,493769
Alabama,2021-03-02,494421
Alabama,2021-03-03,497154
Alabama,2021-03-04,498076
Alabama,2021-03-05,498887
Alabama,2021-03-06,499411
Alabama,2021-03-07,499819
Alabama,2021-03-08,500092
Alabama,2021-03-09,500616
Alabama,2021-03-10,501398
Alabama,2021-03-11,502263
Alabama,2021-03-12,502711
Alabama,2021-03-13,503305
Alabama,2021-03-14,503673
Alabama,2021-03-15,508229
Alabama,2021-03-16,508717
Alabama,2021-03-17,509476
Alabama,2021-03-18,510048
Alabama,2021-03-19,510579
Alabama,2021-03-20,511087
Alabama,2021-03-21,511460
Alabama,2021-03-22,511779
Alabama,2021-03-23,511789
Alabama,2021-03-24,512711
Alabama,2021-03-25,513138
Alabama,2021-03-26,513580
Alabama,2021-03-27,514072
Alabama,2021-03-28,514391
Alabama,2021-03-29,514619
Alabama,2021-03-30,514980
Alabama,2021-03-31,515388
Alabama,2021-04-01,515866
Alabama,2021-04-02,516266
Alabama,2021-04-03,516615
Alabama,2021-04-04,516809
Alabama,2021-04-05,516918
Alabama,2021-04-06,517114
Alabama,2021-04-07,517452
Alabama,2021-04-08,517916
Alabama,2021-04-09,518234
Alabama,2021-04-10,518588
Alabama,2021-04-11,518899
Alabama,2021-04-12,519071
Alabama,2021-04-13,520503
Alabama,2021-04-14,520780
Alabama,2021-04-15,521201
Alabama,2021-04-16,521623
Alabama,2021-04-17,522131
Alabama,2021-04-18,522401
Alabama,2021-04-19,522512
Alabama,2021-04-20,523955
Alabama,2021-04-21,524367
Alabama,2021-04-22,525049
Alabama,2021-04-23,525477
Alabama,2021-04-24,525898
Alabama,2021-04-25,526131
Alabama,2021-04-26,526348
Alabama,2021-04-27,526707
Alabama,2021-04-28,527083
Alabama,2021-04-29,527513
Alabama,2021-04-30,527922
Alabama,2021-05-01,528309
Alabama,2021-05-02,528597
Alabama,2021-05-03,528784
Alabama,2021-05-04,528784
Alabama,2021-05-05,529446
Alabama,2021-05-06,530011
Alabama,2021-05-07,530325
Alabama,2021-05-08,530744
Alabama,2021-05-09,530988
Alabama,2021-05-10,531094
Alabama,2021-05-11,531404
Alabama,2021-05-12,531751
Alabama,2021-05-13,532895
Alabama,2021-05-14,537813
Alabama,2021-05-15,539829
Alabama,2021-05-16,540083
Alabama,2021-05-17,540267
Alabama,2021-05-18,540603
Alabama,2021-05-19,540891
Alabama,2021-05-20,541230
Alabama,2021-05-21,541673
Alabama,2021-05-22,541928
Alabama,2021-05-23,542124
Alabama,2021-05-24,542256
Alabama,2021-05-25,542562
Alabama,2021-05-26,542831
Alabama,2021-05-27,543177
Alabama,2021-05-28,543405
Alabama,2021-05-29,543405
Alabama,2021-05-30,543405
Alabama,2021-05-31,543405
Alabama,2021-06-01,544045
Alabama,2021-06-02,544598
Alabama,2021-06-03,545028
Alabama,2021-06-04,545585
Alabama,2021-06-05,545585
Alabama,2021-06-06,545585
Alabama,2021-06-07,546324
Alabama,2021-06-08,546540
Alabama,2021-06-09,546845
Alabama,2021-06-10,547135
Alabama,2021-06-11,547323
Alabama,2021-06-12,547323
Alabama,2021-06-13,547323
Alabama,2021-06-14,547873
Alabama,2021-06-15,548163
Alabama,2021-06-16,548323
Alabama,2021-06-17,548323
Alabama,2021-06-18,548657
Alabama,2021-06-19,548657
Alabama,2021-06-20,548657
Alabama,2021-06-21,549013
Alabama,2021-06-22,549013
Alabama,2021-06-23,549394
Alabama,2021-06-24,549394
Alabama,2021-06-25,549934
Alabama,2021-06-26,549934
Alabama,2021-06-27,549934
Alabama,2021-06-28,550451
Alabama,2021-06-29,550451
Alabama,2021-06-30,550983
Alabama,2021-07-01,550983
Alabama,2021-07-02,551298
Alabama,2021-07-03,551298
Alabama,2021-07-04,551298
Alabama,2021-07-05,551298
Alabama,2021-07-06,551298
Alabama,2021-07-07,552911
Alabama,2021-07-08,552911
Alabama,2021-07-09,554071
Alabama,2021-07-10,554605
Alabama,2021-07-11,554605
Alabama,2021-07-12,555215
Alabama,2021-07-13,555215
Alabama,2021-07-14,556613
Alabama,2021-07-15,557578
Alabama,2021-07-16,558577
Alabama,2021-07-17,559478
Alabama,2021-07-18,560202
Alabama,2021-07-19,560920
Alabama,2021-07-20,562311
Alabama,2021-07-21,563943
Alabama,2021-07-22,565510
Alabama,2021-07-23,567243
Alabama,2021-07-24,569131
Alabama,2021-07-25,570667
Alabama,2021-07-26,572070
Alabama,2021-07-27,574737
Alabama,2021-07-28,577463
Alabama,2021-07-29,577463
Alabama,2021-07-30,577463
Alabama,2021-07-31,585607
Alabama,2021-08-01,587405
Alabama,2021-08-02,589110
Alabama,2021-08-03,592417
Alabama,2021-08-04,595816
Alabama,2021-08-05,599633
Alabama,2021-08-06,603318
Alabama,2021-08-07,607209
Alabama,2021-08-08,607209
Alabama,2021-08-09,612086
Alabama,2021-08-10,615901
Alabama,2021-08-11,619752
Alabama,2021-08-12,623919
Alabama,2021-08-13,627905
Alabama,2021-08-14,627905
Alabama,2021-08-15,634897
Alabama,2021-08-16,637363
Alabama,2021-08-17,641386
Alabama,2021-08-18,645851
Alabama,2021-08-19,649741
Alabama,2021-08-20,653540
Alabama,2021-08-21,659750
Alabama,2021-08-22,663065
Alabama,2021-08-23,665653
Alabama,2021-08-24,665653
Alabama,2021-08-25,665653
Alabama,2021-08-26,676795
Alabama,2021-08-27,681828
Alabama,2021-08-28,688018
Alabama,2021-08-29,691451
Alabama,2021-08-30,694523
Alabama,2021-08-31,699729
Alabama,2021-09-01,704420
Alabama,2021-09-02,709732
Alabama,2021-09-03,714860
Alabama,2021-09-04,719280
Alabama,2021-09-05,722122
Alabama,2021-09-06,724688
Alabama,2021-09-07,727360
Alabama,2021-09-08,732151
Alabama,2021-09-09,736518
Alabama,2021-09-10,741318
Alabama,2021-09-11,745812
Alabama,2021-09-12,747606
Alabama,2021-09-13,750298
Alabama,2021-09-14,754242
Alabama,2021-09-15,757893
Alabama,2021-09-16,761865
Alabama,2021-09-17,764839
Alabama,2021-09-18,768301
Alabama,2021-09-19,770391
Alabama,2021-09-20,772311
Alabama,2021-09-21,775531
Alabama,2021-09-22,778549
Alabama,2021-09-23,781915
Alabama,2021-09-24,784484
Alabama,2021-09-25,787421
Alabama,2021-09-26,789054
Alabama,2021-09-27,790648
Alabama,2021-09-28,792632
Alabama,2021-09-29,794773
Alabama,2021-09-30,796475
Alabama,2021-10-01,798320
Alabama,2021-10-02,799800
Alabama,2021-10-03,800692
Alabama,2021-10-04,801428
Alabama,2021-10-05,802977
Alabama,2021-10-06,804249
Alabama,2021-10-07,805511
Alabama,2021-10-08,806560
Alabama,2021-10-09,807479
Alabama,2021-10-10,808132
Alabama,2021-10-11,808599
Alabama,2021-10-12,809485
Alabama,2021-10-13,810501
Alabama,2021-10-14,811551
Alabama,2021-10-15,812694
Alabama,2021-10-16,813481
Alabama,2021-10-17,814025
Alabama,2021-10-18,814363
Alabama,2021-10-19,815324
Alabama,2021-10-20,815989
Alabama,2021-10-21,817054
Alabama,2021-10-22,818652
Alabama,2021-10-23,819597
Alabama,2021-10-24,820011
Alabama,2021-10-25,820312
Alabama,2021-10-26,821255
Alabama,2021-10-27,828648
Alabama,2021-10-28,830789
Alabama,2021-10-29,831165
Alabama,2021-10-30,831653
Alabama,2021-10-31,832047
Alabama,2021-11-01,832264
Alabama,2021-11-02,833009
Alabama,2021-11-03,833493
Alabama,2021-11-04,834582
Alabama,2021-11-05,835157
Alabama,2021-11-06,835740
Alabama,2021-11-07,836032
Alabama,2021-11-08,836255
Alabama,2021-11-09,837250
Alabama,2021-11-10,837428
Alabama,2021-11-11,838114
Alabama,2021-11-12,838836
Alabama,2021-11-13,839436
Alabama,2021-11-14,839695
Alabama,2021-11-15,839953
Alabama,2021-11-16,840495
Alabama,2021-11-17,840991
Alabama,2021-11-18,841483
Alabama,2021-11-19,841956
Alabama,2021-11-20,842636
Alabama,2021-11-21,842908
Alabama,2021-11-22,843161
Alabama,2021-11-23,843780
Alabama,2021-11-24,844196
Alabama,2021-11-25,844594
Alabama,2021-11-26,844594
Alabama,2021-11-27,844951
Alabama,2021-11-28,845108
Alabama,2021-11-29,845284
Alabama,2021-11-30,845761
Alabama,2021-12-01,846297
Alabama,2021-12-02,847064
Alabama,2021-12-03,847659
Alabama,2021-12-04,848137
Alabama,2021-12-05,848498
Alabama,2021-12-06,848779
Alabama,2021-12-07,849409
Alabama,2021-12-08,850096
Alabama,2021-12-09,850645
Alabama,2021-12-10,851237
Alabama,2021-12-11,851950
Alabama,2021-12-12,852280
Alabama,2021-12-13,852574
Alabama,2021-12-14,854229
Alabama,2021-12-15,854876
Alabama,2021-12-16,855692
Alabama,2021-12-17,856600
Alabama,2021-12-18,857292
Alabama,2021-12-19,857844
Alabama,2021-12-20,858396
Alabama,2021-12-21,859650
Alabama,2021-12-22,861110
Alabama,2021-12-23,863170
Alabama,2021-12-24,865636
Alabama,2021-12-25,868085
Alabama,2021-12-26,868948
Alabama,2021-12-27,870627
Alabama,2021-12-28,874332
Alabama,2021-12-29,880307
Alabama,2021-12-30,888563
Alabama,2021-12-31,896614
Alabama,2022-01-01,896614
Alabama,2022-01-02,909541
Alabama,2022-01-03,913603
Alabama,2022-01-04,921175
Alabama,2022-01-05,932250
Alabama,2022-01-06,944876
Alabama,2022-01-07,957848
Alabama,2022-01-08,966180
Alabama,2022-01-09,978632
Alabama,2022-01-10,984882
Alabama,2022-01-11,993418
Alabama,2022-01-12,1004622
Alabama,2022-01-13,1004622
Alabama,2022-01-14,1004622
Alabama,2022-01-15,1004622
Alabama,2022-01-16,1056478
Alabama,2022-01-17,1064536
Alabama,2022-01-18,1071264
Alabama,2022-01-19,1088370
Alabama,2022-01-20,1104356
Alabama,2022-01-21,1120881
Alabama,2022-01-22,1137387
Alabama,2022-01-23,1147194
Alabama,2022-01-24,1153149
Alabama,2022-01-25,1161929
Alabama,2022-01-26,1153149
Alabama,2022-01-27,1153149
Alabama,2022-01-28,1195557
Alabama,2022-01-29,1206308
Alabama,2022-01-30,1212798
Alabama,2022-01-31,1218257
Alabama,2022-02-01,1223896
Alabama,2022-02-02,1229300
Alabama,2022-02-03,1229300
Alabama,2022-02-04,1240496
Alabama,2022-02-05,1242420
Alabama,2022-02-06,1242420
Alabama,2022-02-07,1245876
Alabama,2022-02-08,1250383
Alabama,2022-02-09,1254032
Alabama,2022-02-10,1256745
Alabama,2022-02-11,1259580
Alabama,2022-02-12,1262018
Alabama,2022-02-13,1263072
Alabama,2022-02-14,1263796
Alabama,2022-02-15,1265932
Alabama,2022-02-16,1267907
Alabama,2022-02-17,1270015
Alabama,2022-02-18,1271455
Alabama,2022-02-19,1272608
Alabama,2022-02-20,1273092
Alabama,2022-02-21,1273484
Alabama,2022-02-22,1274123
Alabama,2022-02-23,1275355
Alabama,2022-02-24,1276580
Alabama,2022-02-25,1277837
Alabama,2022-02-26,1279006
Alabama,2022-02-27,1279364
Alabama,2022-02-28,1279565
Alabama,2022-03-01,1280351
Alabama,2022-03-02,1281610
Alabama,2022-03-03,1282372
Alabama,2022-03-04,1282945
Alabama,2022-03-05,1282945
Alabama,2022-03-06,1282945
Alabama,2022-03-07,1286655
Alabama,2022-03-08,1287286
Alabama,2022-03-09,1287822
Alabama,2022-03-10,1288454
Alabama,2022-03-11,1288999
Alabama,2022-03-12,1288999
Alabama,2022-03-13,1288999
Alabama,2022-03-14,1289510
Alabama,2022-03-15,1289727
Alabama,2022-03-16,1290165
Alabama,2022-03-17,1290692
Alabama,2022-03-18,1291186
Alabama,2022-03-19,1291186
Alabama,2022-03-20,1291186
Alabama,2022-03-21,1291561
Alabama,2022-03-22,1291761
Alabama,2022-03-23,1291946
Alabama,2022-03-24,1292344
Alabama,2022-03-25,1292508
Alabama,2022-03-26,1292508
Alabama,2022-03-27,1292508
Alabama,2022-03-28,1294532
Alabama,2022-03-29,1294816
Alabama,2022-03-30,1295069
Alabama,2022-03-31,1295327
Alabama,2022-04-01,1295353
Alabama,2022-04-02,1295468
Alabama,2022-04-03,1295468
Alabama,2022-04-04,1295892
Alabama,2022-04-05,1296129
Alabama,2022-04-06,1296348
Alabama,2022-04-07,1296558
Alabama,2022-04-08,1296730
Alabama,2022-04-09,1296730
Alabama,2022-04-10,1296730
Alabama,2022-04-11,1297091
Alabama,2022-04-12,1297305
Alabama,2022-04-13,1297461
Alabama,2022-04-14,1297649
Alabama,2022-04-15,1297869
Alabama,2022-04-16,1297869
Alabama,2022-04-17,1297869
Alabama,2022-04-18,1298837
Alabama,2022-04-19,1298473
Alabama,2022-04-20,1298626
Alabama,2022-04-21,1298880
Alabama,2022-04-22,1299137
Alabama,2022-04-23,1299137
Alabama,2022-04-24,1299137
Alabama,2022-04-25,1299816
Alabama,2022-04-26,1300076
Alabama,2022-04-27,1300278
Alabama,2022-04-28,1300511
Alabama,2022-04-29,1300733
Alabama,2022-04-30,1300733
Alabama,2022-05-01,1300733
Alabama,2022-05-02,1301171
Alabama,2022-05-03,1301463
Alabama,2022-05-04,1301805
Alabama,2022-05-05,1302155
Alabama,2022-05-06,1302397
Alabama,2022-05-07,1302397
Alabama,2022-05-08,1302397
Alabama,2022-05-09,1302945
Alabama,2022-05-10,1303441
Alabama,2022-05-11,1303835
Alabama,2022-05-12,1304291
Alabama,2022-05-13,1304710
Alabama,2022-05-14,1304710
Alabama,2022-05-15,1304710
Alabama,2022-05-16,1305665
Alabama,2022-05-17,1306116
Alabama,2022-05-18,1306662
Alabama,2022-05-19,1307291
Alabama,2022-05-20,1307883
Alabama,2022-05-21,1307883
Alabama,2022-05-22,1307883
Alabama,2022-05-23,1309185
Alabama,2022-05-24,1309743
Alabama,2022-05-25,1310513
Alabama,2022-05-26,1311381
Alabama,2022-05-27,1312437
Alabama,2022-05-28,1312437
Alabama,2022-05-29,1312437
Alabama,2022-05-30,1312437
Alabama,2022-05-31,1314963
Alabama,2022-06-01,1315934
Alabama,2022-06-02,1317029
Alabama,2022-06-03,1317029
Alabama,2022-06-04,1317029
Alabama,2022-06-05,1317029
Alabama,2022-06-06,1320708
Alabama,2022-06-07,1321892
Alabama,2022-06-08,1322957
Alabama,2022-06-09,1324178
Alabama,2022-06-10,1325361
Alabama,2022-06-11,1325361
Alabama,2022-06-12,1325361
Alabama,2022-06-13,1328321
Alabama,2022-06-14,1329827
Alabama,2022-06-15,1331452
Alabama,2022-06-16,1333137
Alabama,2022-06-17,1334981
Alabama,2022-06-18,1334981
Alabama,2022-06-19,1334981
Alabama,2022-06-20,1338177
Alabama,2022-06-21,1340110
Alabama,2022-06-22,1342150
Alabama,2022-06-23,1344233
Alabama,2022-06-24,1346268
Alabama,2022-06-25,1346268
Alabama,2022-06-26,1346268
Alabama,2022-06-27,1350735
Alabama,2022-06-28,1352915
Alabama,2022-06-29,1355340
Alabama,2022-06-30,1357266
Alabama,2022-07-01,1359051
Alabama,2022-07-02,1359051
Alabama,2022-07-03,1359051
Alabama,2022-07-04,1362388
Alabama,2022-07-05,1363194
Alabama,2022-07-06,1367570
Alabama,2022-07-07,1370792
Alabama,2022-07-08,1373684
Alabama,2022-07-09,1373684
Alabama,2022-07-10,1373684
Alabama,2022-07-11,1378259
Alabama,2022-07-12,1382137
Alabama,2022-07-13,1384836
Alabama,2022-07-14,1387729
Alabama,2022-07-15,1390333
Alabama,2022-07-16,1390333
Alabama,2022-07-17,1390333
Alabama,2022-07-18,1396285
Alabama,2022-07-19,1398986
Alabama,2022-07-20,1401893
Alabama,2022-07-21,1404810
Alabama,2022-07-22,1407699
Alabama,2022-07-23,1407699
Alabama,2022-07-24,1407699
Alabama,2022-07-25,1413426
Alabama,2022-07-26,1416310
Alabama,2022-07-27,1419075
Alabama,2022-07-28,1421760
Alabama,2022-07-29,1424411
Alabama,2022-07-30,1424411
Alabama,2022-07-31,1424411
